date,open,high,low,close,volume,dividend,ratio
2019-05-27,0.086827,0.09447,0.085395,0.092403,179482878.0,0.0,1
2019-05-28,0.091142,0.09264,0.087945,0.091605,201453128.0,0.0,1
2019-05-29,0.090938,0.093721,0.086985,0.091146,180208893.0,0.0,1
2019-05-30,0.091145,0.096866,0.083046,0.085643,237763670.0,0.0,1
2019-05-31,0.084841,0.090066,0.08271,0.089685,280883502.0,0.0,1
2019-06-01,0.089668,0.092995,0.086899,0.091069,181458745.0,0.0,1
2019-06-02,0.091195,0.097483,0.091195,0.097166,248536709.0,0.0,1
2019-06-03,0.097071,0.098748,0.090399,0.09049,278883507.0,0.0,1
2019-06-04,0.090169,0.090169,0.08117,0.083154,267512398.0,0.0,1
2019-06-05,0.083751,0.08518,0.081032,0.08391,183690800.0,0.0,1
2019-06-06,0.083763,0.084071,0.07939,0.083973,168017105.0,0.0,1
2019-06-07,0.083728,0.087386,0.082886,0.086139,214443973.0,0.0,1
2019-06-08,0.086127,0.086794,0.082881,0.084692,146345798.0,0.0,1
2019-06-09,0.084604,0.084705,0.079098,0.080119,146221207.0,0.0,1
2019-06-10,0.080244,0.085481,0.079449,0.085481,179895405.0,0.0,1
2019-06-11,0.085475,0.089415,0.083157,0.088237,182220245.0,0.0,1
2019-06-12,0.088362,0.096479,0.087147,0.096479,252736387.0,0.0,1
2019-06-13,0.096609,0.096771,0.089676,0.090403,335094367.0,0.0,1
2019-06-14,0.090473,0.091704,0.086647,0.090778,258487482.0,0.0,1
2019-06-15,0.09096,0.093144,0.090942,0.092089,245021365.0,0.0,1
2019-06-16,0.092101,0.094509,0.091457,0.092708,267935720.0,0.0,1
2019-06-17,0.092723,0.09367,0.091779,0.093284,239503472.0,0.0,1
2019-06-18,0.093347,0.093378,0.089067,0.089565,215793811.0,0.0,1
2019-06-19,0.089678,0.092149,0.089635,0.090508,192215042.0,0.0,1
2019-06-20,0.090483,0.090572,0.087404,0.088839,226920244.0,0.0,1
2019-06-21,0.088833,0.091629,0.088833,0.08978,202394366.0,0.0,1
2019-06-22,0.089997,0.096909,0.089588,0.094229,201862034.0,0.0,1
2019-06-23,0.094679,0.101759,0.094227,0.096848,261717220.0,0.0,1
2019-06-24,0.097204,0.099166,0.094827,0.097531,200629863.0,0.0,1
2019-06-25,0.097978,0.098139,0.094292,0.096405,173816554.0,0.0,1
2019-06-26,0.096471,0.107139,0.096471,0.098758,446273988.0,0.0,1
2019-06-27,0.098504,0.099984,0.085544,0.0868,522324444.0,0.0,1
2019-06-28,0.087133,0.089815,0.08581,0.089715,306643786.0,0.0,1
2019-06-29,0.089694,0.091808,0.085856,0.091534,265352047.0,0.0,1
2019-06-30,0.091831,0.092344,0.083893,0.084005,241230301.0,0.0,1
2019-07-01,0.083887,0.086428,0.080927,0.083776,240274867.0,0.0,1
2019-07-02,0.083847,0.084241,0.077336,0.081034,247001643.0,0.0,1
2019-07-03,0.080846,0.083159,0.080371,0.082691,247777098.0,0.0,1
2019-07-04,0.082609,0.082609,0.078947,0.078947,216992937.0,0.0,1
2019-07-05,0.079027,0.079232,0.076228,0.076556,210332212.0,0.0,1
2019-07-06,0.076538,0.07922,0.076537,0.077616,200759018.0,0.0,1
2019-07-07,0.077571,0.080128,0.074785,0.079925,204023016.0,0.0,1
