,Date,ADA_close,AVAX_close,FLOW_close,MANA_close,MATIC_close,SOL_close,TFUEL_close,Number of sales,Sales USD,Average USD,Active market wallets,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers
77,2017-12-18,0.515875479,16.176041381276956,6.304382655256036,0.11594118,0.0280555578138409,6.304861240224858,0.0577536750534606,19319,509909.41,26.39,5531,11979,7340,331072.79,178836.62,4378,2118
78,2017-12-19,0.53628232,16.535633180078058,6.444528457674539,0.105914149,0.0286792300871033,6.4450176815398486,0.0590375335334399,14214,438460.84,30.85,4519,9268,4946,326072.17,112388.67,3719,1619
79,2017-12-20,0.490121382,15.483114843974816,6.034324367188687,0.118506245,0.026853753239421,6.03478245120691,0.0552797042513342,20495,878293.55,42.85,6979,9913,10582,686329.08,191964.48,3228,4520
80,2017-12-21,0.474320939,15.113864316523363,5.890414212297299,0.108123045,0.026213328967714,5.890861371655526,0.0539613610007764,15836,1113476.39,70.31,5220,10446,5390,983232.43,130243.96,3413,2509
81,2017-12-22,0.406008622,13.301363469564938,5.184017719306902,0.087403859,0.02306974636299,5.184411253946887,0.0474901495045868,16417,1991108.18,121.28,4185,12711,3706,1894939.15,96169.02,3376,1374
82,2017-12-23,0.403361033,12.674160812129475,4.939574381059552,0.087393363,0.0219819326017665,4.9399493592581205,0.0452508341111357,14726,2204513.37,149.7,3992,10718,4008,2129585.23,74928.13,3274,1318
83,2017-12-24,0.385976281,12.608517891352038,4.913990983896101,0.083416254,0.0218680822031719,4.914364019980746,0.045016467752471,12749,1584311.71,124.27,3315,8826,3923,1521289.57,63022.14,2748,1108
84,2017-12-25,0.414036101,12.657192518553163,4.932961229350159,0.091186499,0.0219525029699912,4.933335705524155,0.0451902518407075,9877,1896641.41,192.03,3007,6690,3187,1835736.14,60905.27,2471,984
85,2017-12-26,0.435952808,12.999107398541716,5.066217703425995,0.086243095,0.0225455165792438,5.066602295506493,0.0464109980300476,7912,995872.98,125.87,2681,4960,2952,927138.91,68734.07,2183,903
86,2017-12-27,0.419853544,12.888162491336573,5.022978499705691,0.083270888,0.0223530948868854,5.023359809365991,0.0460148889964136,9152,650769.55,71.11,2812,5727,3425,590435.49,60334.06,2236,1046
87,2017-12-28,0.411105748,12.470329342343934,4.860133957261015,0.088562356,0.0216284094220182,4.86050290489405,0.0445230901474433,9977,404581.75,40.55,2579,6612,3365,351537.14,53044.61,2070,974
88,2017-12-29,0.528676074,14.715830009834464,5.735285987774404,0.090501837,0.025522982408875,5.73572137087466,0.0525402503923894,8463,339139.78,40.07,2360,5533,2930,291372.52,47767.26,1946,820
89,2017-12-30,0.632473099,17.729604989624562,6.909862032777909,0.097320897,0.0307500423668988,6.91038658153809,0.0633003972518373,6623,150284.29,22.69,2175,3857,2766,112450.89,37833.4,1786,756
90,2017-12-31,0.72229995,20.19249855988231,7.869739863212144,0.102339046,0.0350216593417219,7.870337279234145,0.0720937201418592,6961,187305.78,26.91,1984,4298,2663,143804.28,43501.5,1575,750
91,2018-01-01,0.731872207,20.616126175260003,8.034842716730179,0.100089851,0.0357563946687794,8.035452666214743,0.0736062071011541,7417,140873.22,18.99,1939,4596,2821,67940.16,72933.05,1468,845
92,2018-01-02,0.784924774,22.302229950991148,8.691977744276825,0.104862028,0.0386807555086888,8.692637578891127,0.0796261403638559,6658,211562.09,31.78,2092,4112,2546,169707.34,41854.75,1680,800
93,2018-01-03,1.072058506,29.12409278200261,11.35070200781289,0.155301558,0.0505125234018559,11.351563674317536,0.1039823867355757,3767,135898.75,36.08,1632,2253,1514,111926.34,23972.41,1261,621
94,2018-01-04,1.112178655,30.21225864722387,11.774799217077142,0.200368037,0.0523998269530263,11.775693078098012,0.1078674891721334,2604,59562.4,22.87,1190,1586,1018,35584.8,23977.6,868,465
95,2018-01-05,0.997115362,27.53706265490742,10.732179529364712,0.165274208,0.0477599948669968,10.732994241936318,0.098316178291871,2076,43598.52,21.0,1216,1180,896,28227.22,15371.3,900,431
96,2018-01-06,1.019898027,27.881154421213363,10.866284414001472,0.182306699,0.0483567840452216,10.867109306885022,0.0995446966661382,2879,84119.45,29.22,1484,1646,1233,37170.16,46949.29,978,664
97,2018-01-07,1.038848345,28.526772031123592,11.117904718741606,0.233218972,0.0494765365083573,11.118748712892048,0.1018497593679872,3160,64333.69,20.36,1517,1907,1253,38622.19,25711.49,1045,649
98,2018-01-08,0.89872971,25.399361518629757,9.899040836898896,0.231696258,0.044052388265114,9.899792303364269,0.0906838970757205,2550,59658.1,23.4,1280,1496,1054,33083.9,26574.2,911,533
99,2018-01-09,0.812461973,23.32756449315667,9.091587336704372,0.250129193,0.0404590850670905,9.09227750690501,0.0832869147507128,1812,57715.3,31.85,1026,1108,704,34987.79,22727.5,737,410
100,2018-01-10,0.783314946,22.685509844158997,8.841355645435792,0.210025154,0.0393455121662787,8.842026819783433,0.0809945729662948,1366,53725.75,39.33,825,852,514,23695.99,30029.75,591,315
101,2018-01-11,0.688184853,19.977113064490062,7.785796421838639,0.174465294,0.0346480969802139,7.7863874654572705,0.0713247245873281,2082,53463.82,25.68,1075,1250,832,32272.8,21191.02,725,469
102,2018-01-12,0.898686107,25.300966546749475,9.860692792438252,0.184196874,0.0438817330499652,9.861441347786284,0.0903325953512179,2526,64577.72,25.57,1235,1516,1010,31890.54,32687.17,810,574
103,2018-01-13,0.893424712,24.72349127925048,9.63562999898658,0.179055906,0.0428801659562921,9.636361469129625,0.0882708227478695,2500,62952.69,25.18,1083,1626,874,34307.6,28645.09,797,429
104,2018-01-14,0.799436276,22.35599093484772,8.71293032508236,0.152596872,0.0387739979995533,8.713591750271153,0.0798180843827306,2796,82848.53,29.63,1052,1819,977,44920.15,37928.38,747,452
105,2018-01-15,0.778803969,21.81830669149133,8.503375518815355,0.134251883,0.037841444044014,8.504021036057898,0.0778983785449282,1837,50531.56,27.51,887,1150,687,30040.51,20491.05,650,337
106,2018-01-16,0.621661229,18.061294329146342,7.039133247516194,0.095415707,0.0313253209051918,7.039667609649652,0.0644846349699487,2042,56255.2,27.55,896,1287,755,23390.71,32864.49,643,361
107,2018-01-17,0.631572426,18.14481376799485,7.0716837640018095,0.142031921,0.0314701761506727,7.072220597144527,0.0647828262528597,2297,46837.79,20.39,885,1474,823,27755.63,19082.16,626,379
