Date,Open,High,Low,Close,Volume,Market Cap
2021-11-03,14.3789,14.3789,13.5816,13.9203,84414860.44081633,4317460367.077836
2021-11-04,13.9203,14.1744,13.6336,13.8556,87447598.46296297,4289262809.832346
2021-11-05,13.842786175631664,14.35817218236587,13.6755,13.898,98088932.1081081,4316145285.031398
2021-11-06,13.8998,13.9465,13.4388,13.8178,80266241.8008658,4247668142.354992
2021-11-07,13.8178,13.8476,13.6475,13.7886,51455195.00452489,4252215825.815751
2021-11-08,13.8067,13.9613,13.7198,13.93,52085931.119266056,4276215825.548498
2021-11-09,13.93,13.9595,13.6347,13.6918,66569719.55918367,4276810342.610049
2021-11-10,13.7009,13.7759,12.6841,12.8579,74148370.32727273,4185194220.19812
2021-11-11,12.8579,13.2042,12.8579,13.1794,90531717.25764193,4071241400.997849
2021-11-12,13.1529,13.216,12.5598,12.8835,49739154.16666666,3999825202.427023
2021-11-13,12.895,13.2009,12.6985,13.1673,51131124.03571428,4036010264.016825
2021-11-14,13.1643,13.1643,12.755314612677209,12.9711,40747284.59433962,4031608311.71258
2021-11-15,12.9697,14.5274,12.9298,13.306270790728092,102599749.93333334,4141860976.0215178
2021-11-16,13.2671,13.2671,12.079,12.6312,160229774.80555555,3942565335.577848
2021-11-17,12.60561413726505,12.7398,12.0908,12.5902,104392809.17216118,3875576995.642921
2021-11-18,12.5822,12.5822,11.682955347464576,11.7032,115285915.12195122,3756101178.163749
2021-11-19,11.727716991046911,12.749877628303723,11.4934,12.379290109396733,117187031.1111111,3800041031.605053
2021-11-20,12.38284296990116,13.22018611227602,12.3149,13.011532176470077,109128246.3611111,3996911061.650238
2021-11-21,12.994092462736369,15.777791973545307,12.7539,14.184066247948454,218676873.0,4286965550.3302784
2021-11-22,14.309441471787824,15.0544,13.358326240771692,13.4785,429879443.1328672,4353388625.909738
2021-11-23,13.453311629742087,13.654952293757944,12.865734692036504,13.226577581184888,186138169.2777778,4127409325.76672
2021-11-24,13.210765555217671,13.456164602968297,12.702856752714291,13.0108,131823065.3611111,4073792352.931527
